YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2010-10,2010,Angleton,Houston-The Woodlands-Sugar Land,TX,2883,3.848
2010-10,2010,Prosper,Dallas-Fort Worth-Arlington,TX,2920,2.822
2010-10,2010,Spring Branch,San Antonio-New Braunfels,TX,2922,4.358
2010-10,2010,Dripping Springs,Austin-Round Rock,TX,2930,3.716
2010-10,2010,La Marque,Houston-The Woodlands-Sugar Land,TX,2945,7.27
2010-10,2010,Sanger,Dallas-Fort Worth-Arlington,TX,2980,4.044
2010-10,2010,Pecan Grove,Houston-The Woodlands-Sugar Land,TX,3019,3.687
2010-10,2010,Horizon City,El Paso,TX,3102,1.732
2010-10,2010,Canyon Lake,San Antonio-New Braunfels,TX,3113,5.324
2010-10,2010,Bonham,Bonham,TX,3152,9.545
2010-10,2010,Wimberley,Austin-Round Rock,TX,3185,3.639
2010-10,2010,Timberwood Park,San Antonio-New Braunfels,TX,3224,2.7
2010-10,2010,Canton,NA,TX,3255,4.778
2010-10,2010,Seabrook,Houston-The Woodlands-Sugar Land,TX,3256,4.003
2010-10,2010,Liberty Hill,Austin-Round Rock,TX,3339,3.22
2010-10,2010,Sienna Plantation,Houston-The Woodlands-Sugar Land,TX,3418,3.484
2010-10,2010,Celina,Dallas-Fort Worth-Arlington,TX,3422,6.522
2010-10,2010,Lakeway,Austin-Round Rock,TX,3452,3.45
2010-10,2010,Whitney,NA,TX,3542,5.296
2010-10,2010,Highland Park,Dallas-Fort Worth-Arlington,TX,3544,4.445
2010-10,2010,Spicewood,Austin-Round Rock,TX,3555,2.543
2010-10,2010,Fairview,Dallas-Fort Worth-Arlington,TX,3581,3.246
2010-10,2010,Trophy Club,Dallas-Fort Worth-Arlington,TX,3668,2.642
2010-10,2010,Fulshear,Houston-The Woodlands-Sugar Land,TX,3683,3.073
2010-10,2010,Lantana,Dallas-Fort Worth-Arlington,TX,3687,3.801
2010-10,2010,Bee Cave,Austin-Round Rock,TX,3701,3.432
2010-10,2010,Heath,Dallas-Fort Worth-Arlington,TX,3726,4.918
2010-10,2010,Fate,Dallas-Fort Worth-Arlington,TX,3732,2.818
2010-10,2010,Fair Oaks Ranch,San Antonio-New Braunfels,TX,3766,3.016
2010-10,2010,Port Aransas,Corpus Christi,TX,3809,4.348
2010-10,2010,Laguna Vista,Brownsville-Harlingen,TX,3890,4.758
2010-10,2010,South Padre Island,Brownsville-Harlingen,TX,3916,6.107
2010-11,2010,Houston,Houston-The Woodlands-Sugar Land,TX,3,4.211
2010-11,2010,San Antonio,San Antonio-New Braunfels,TX,5,3.736
2010-11,2010,Dallas,Dallas-Fort Worth-Arlington,TX,10,4.46
2010-11,2010,Austin,Austin-Round Rock,TX,11,3.127
2010-11,2010,Fort Worth,Dallas-Fort Worth-Arlington,TX,17,3.934
2010-11,2010,El Paso,El Paso,TX,22,3.662
2010-11,2010,Arlington,Dallas-Fort Worth-Arlington,TX,52,3.772
2010-11,2010,Corpus Christi,Corpus Christi,TX,69,4.836
2010-11,2010,Plano,Dallas-Fort Worth-Arlington,TX,82,3.249
2010-11,2010,Lubbock,Lubbock,TX,90,3.236
2010-11,2010,Laredo,Laredo,TX,108,4.194
2010-11,2010,Garland,Dallas-Fort Worth-Arlington,TX,112,4.348
2010-11,2010,Spring,Houston-The Woodlands-Sugar Land,TX,113,4.073
