YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2011-01,2011,Rosenberg,Houston-The Woodlands-Sugar Land,TX,1828,5.408
2011-01,2011,Schertz,San Antonio-New Braunfels,TX,1831,3.116
2011-01,2011,Lake Jackson,Houston-The Woodlands-Sugar Land,TX,1935,4
2011-01,2011,Crosby,Houston-The Woodlands-Sugar Land,TX,2007,5.013
2011-01,2011,Alvin,Houston-The Woodlands-Sugar Land,TX,2307,4.66
2011-01,2011,Helotes,San Antonio-New Braunfels,TX,2392,2.524
2011-01,2011,Floresville,San Antonio-New Braunfels,TX,2409,4.53
2011-01,2011,Manvel,Houston-The Woodlands-Sugar Land,TX,2658,3.229
2011-01,2011,Bellaire,Houston-The Woodlands-Sugar Land,TX,2715,2.976
2011-01,2011,Dickinson,Houston-The Woodlands-Sugar Land,TX,2842,4.762
2011-01,2011,Angleton,Houston-The Woodlands-Sugar Land,TX,2883,4.974
2011-01,2011,Spring Branch,San Antonio-New Braunfels,TX,2922,4.428
2011-01,2011,La Marque,Houston-The Woodlands-Sugar Land,TX,2945,8.332
2011-01,2011,Pecan Grove,Houston-The Woodlands-Sugar Land,TX,3019,2.08
2011-01,2011,Canyon Lake,San Antonio-New Braunfels,TX,3113,5.235
2011-01,2011,Timberwood Park,San Antonio-New Braunfels,TX,3224,2.441
2011-01,2011,Seabrook,Houston-The Woodlands-Sugar Land,TX,3256,2.051
2011-01,2011,Sienna Plantation,Houston-The Woodlands-Sugar Land,TX,3418,3.475
2011-01,2011,Fulshear,Houston-The Woodlands-Sugar Land,TX,3683,3.948
2011-01,2011,Fair Oaks Ranch,San Antonio-New Braunfels,TX,3766,4.454
2011-02,2011,Houston,Houston-The Woodlands-Sugar Land,TX,3,4.55
2011-02,2011,San Antonio,San Antonio-New Braunfels,TX,5,3.636
2011-02,2011,Spring,Houston-The Woodlands-Sugar Land,TX,113,4.079
2011-02,2011,Sugar Land,Houston-The Woodlands-Sugar Land,TX,191,3.089
2011-02,2011,Cypress,Houston-The Woodlands-Sugar Land,TX,213,3.61
2011-02,2011,Conroe,Houston-The Woodlands-Sugar Land,TX,222,4.306
2011-02,2011,Pasadena,Houston-The Woodlands-Sugar Land,TX,227,4.523
2011-02,2011,Pearland,Houston-The Woodlands-Sugar Land,TX,277,3.207
2011-02,2011,The Woodlands,Houston-The Woodlands-Sugar Land,TX,379,3.334
2011-02,2011,League City,Houston-The Woodlands-Sugar Land,TX,403,3.336
