Pivot1 Names,RegionName,SizeRank,Pivot1 Values
2010-10,"Pittsburgh, PA",15,
2010-10,"Portland, OR",16,
2010-10,"Charlotte, NC",17,2100
2010-10,"Sacramento, CA",18,
2010-10,"San Antonio, TX",19,
2010-10,"Orlando, FL",20,
2010-10,"Cleveland, OH",21,
2010-10,"Kansas City, MO",22,
2010-10,"Las Vegas, NV",23,2200
2010-10,"San Jose, CA",24,
2010-10,"Austin, TX",25,
2010-10,"Virginia Beach, VA",26,
2010-10,"Nashville, TN",27,
2010-10,"Providence, RI",28,
2010-10,"Milwaukee, WI",29,
2010-10,"Jacksonville, FL",30,
2010-10,"Memphis, TN",31,
2010-10,"Oklahoma City, OK",32,
2010-10,"Hartford, CT",33,
2010-10,"Richmond, VA",34,
2010-10,"Buffalo, NY",35,
2010-10,"Salt Lake City, UT",36,
2010-10,"Rochester, NY",37,
2010-10,"Urban Honolulu, HI",38,
2010-10,"Worcester, MA",39,
2010-10,"Albany, NY",40,
2010-10,"New Haven, CT",41,1000
2010-10,"Ventura, CA",42,
2010-10,"Allentown, PA",43,
2010-10,"Columbia, SC",44,
2010-10,"Stockton, CA",45,
2010-10,"Colorado Springs, CO",46,
2010-10,"Wichita, KS",47,
2010-10,"Ogden, UT",48,
2010-10,"Augusta, GA",49,
2010-10,"Spokane, WA",50,
2010-10,"Anchorage, AK",51,
2010-10,"Glenwood Springs, CO",52,
2010-11,United States,0,
2010-11,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-11,"Dallas-Fort Worth, TX",2,
2010-11,"Houston, TX",3,
2010-11,"Washington, DC",4,3295
2010-11,"Miami-Fort Lauderdale, FL",5,
2010-11,"Atlanta, GA",6,
2010-11,"Boston, MA",7,
2010-11,"San Francisco, CA",8,
2010-11,"Riverside, CA",9,2500
2010-11,"Seattle, WA",10,
2010-11,"Minneapolis-St Paul, MN",11,
2010-11,"San Diego, CA",12,
2010-11,"Tampa, FL",13,
2010-11,"Denver, CO",14,
2010-11,"Pittsburgh, PA",15,
2010-11,"Portland, OR",16,
2010-11,"Charlotte, NC",17,2000
2010-11,"Sacramento, CA",18,
2010-11,"San Antonio, TX",19,
2010-11,"Orlando, FL",20,
2010-11,"Cleveland, OH",21,
2010-11,"Kansas City, MO",22,
2010-11,"Las Vegas, NV",23,2100
2010-11,"San Jose, CA",24,
2010-11,"Austin, TX",25,
2010-11,"Virginia Beach, VA",26,
2010-11,"Nashville, TN",27,
2010-11,"Providence, RI",28,
2010-11,"Milwaukee, WI",29,
2010-11,"Jacksonville, FL",30,
2010-11,"Memphis, TN",31,
2010-11,"Oklahoma City, OK",32,
2010-11,"Hartford, CT",33,
2010-11,"Richmond, VA",34,
2010-11,"Buffalo, NY",35,
2010-11,"Salt Lake City, UT",36,
2010-11,"Rochester, NY",37,
