Date,PriceCut,RegionID,RegionName,SizeRank
2010-10,11.415809921,395169,"Tulsa, OK",55
2010-10,15.012110427,394619,"Fresno, CA",56
2010-10,17.779621247,395238,"Worcester, MA",57
2010-10,14.080295587,394415,"Stamford, CT",58
2010-10,16.903432428,394312,"Albuquerque, NM",59
2010-10,14.362183393,394308,"Albany, NY",60
2010-10,11.414999789,394938,"Omaha, NE",61
2010-10,15.974782448,394908,"New Haven, CT",62
2010-10,11.290840653,394357,"Bakersfield, CA",63
2010-10,12.676324453,394753,"Knoxville, TN",64
2010-10,9.605969172,394653,"Greenville, SC",65
2010-10,11.637699721,394952,"Ventura, CA",66
2010-10,14.702217821,394318,"Allentown, PA",67
2010-10,10.827338034,394561,"El Paso, TX",68
2010-10,13.035316134,394521,"Dayton, OH",70
2010-10,10.358258017,394486,"Columbia, SC",72
2010-10,9.681884724,394648,"Greensboro, NC",73
2010-10,12.414662738,394304,"Akron, OH",74
2010-10,15.847091398,753906,"North Port-Sarasota-Bradenton, FL",75
2010-10,9.947515105,394798,"Little Rock, AR",76
2010-10,11.437400259,395134,"Stockton, CA",77
2010-10,17.817655420,394457,"Charleston, SC",78
2010-10,21.518307873,394484,"Colorado Springs, CO",80
2010-10,10.882649705,395235,"Winston-Salem, NC",81
2010-10,13.100499916,395224,"Wichita, KS",82
2010-10,15.500804813,395115,"Springfield, MA",83
2010-10,14.666503770,394440,"Fort Myers, FL",84
2010-10,14.844636778,394399,"Boise City, ID",85
2010-10,10.566090730,394816,"Madison, WI",87
2010-10,13.862231713,394766,"Lakeland, FL",88
2010-10,16.687034227,394931,"Ogden, UT",89
2010-10,14.192850627,394528,"Daytona Beach, FL",90
2010-10,14.972561210,394531,"Des Moines, IA",91
2010-10,10.313067917,394711,"Jackson, MS",92
2010-10,8.762371614,394352,"Augusta, GA",94
2010-10,16.697167573,394666,"Harrisburg, PA",96
2010-10,12.945377701,394957,"Melbourne, FL",97
2010-10,15.108274789,394460,"Chattanooga, TN",98
2010-10,14.149613511,395113,"Spokane, WA",99
2010-10,11.703584403,395006,"Provo, UT",100
2010-10,12.713384774,394768,"Lancaster, PA",101
2010-10,12.632796440,394871,"Modesto, CA",102
2010-10,14.222222104,394997,"Portland, ME",103
2010-10,14.815834811,394549,"Durham, NC",104
2010-10,15.281527901,395068,"Santa Rosa, CA",105
2010-10,13.512352198,394792,"Lexington, KY",106
2010-10,14.556400939,394770,"Lansing, MI",108
2010-10,11.851191540,394590,"Fayetteville, AR",109
2010-10,14.651672894,394971,"Pensacola, FL",110
2010-10,21.783732222,395195,"Visalia, CA",111
2010-10,12.143658122,395116,"Springfield, MO",113
2010-10,17.021512322,395244,"York, PA",114
