Date,ZHVI,RegionID,RegionName,SizeRank
1997-03,49900,38,Nebraska,37
1997-03,63900,20,Idaho,38
1997-03,148500,18,Hawaii,39
1997-03,54600,28,Maine,40
1997-03,55300,39,New Hampshire,41
1997-03,73400,50,Rhode Island,42
1997-03,121500,35,Montana,43
1997-03,42800,52,South Dakota,44
1997-03,70000,3,Alaska,45
1997-03,,37,North Dakota,46
1997-03,90900,12,District of Columbia,47
1997-03,117800,62,Wyoming,48
1997-04,92200,9,California,1
1997-04,45500,54,Texas,2
1997-04,59300,43,New York,3
1997-04,42500,14,Florida,4
1997-04,58600,21,Illinois,5
1997-04,52000,47,Pennsylvania,6
1997-04,48100,44,Ohio,7
1997-04,63600,30,Michigan,8
1997-04,66300,16,Georgia,9
1997-04,49800,36,North Carolina,10
1997-04,89200,40,New Jersey,11
1997-04,74400,56,Virginia,12
1997-04,89800,59,Washington,13
1997-04,83300,26,Massachusetts,14
1997-04,52800,22,Indiana,15
1997-04,50400,8,Arizona,16
1997-04,52600,53,Tennessee,17
1997-04,48800,32,Missouri,18
1997-04,75400,60,Wisconsin,19
1997-04,54300,31,Minnesota,20
1997-04,74200,10,Colorado,21
1997-04,47300,4,Alabama,22
1997-04,79000,51,South Carolina,23
1997-04,,25,Louisiana,24
1997-04,46600,24,Kentucky,25
1997-04,86100,46,Oregon,26
1997-04,17400,45,Oklahoma,27
1997-04,56100,11,Connecticut,28
1997-04,35800,19,Iowa,29
1997-04,43600,34,Mississippi,30
1997-04,49200,6,Arkansas,31
1997-04,28000,23,Kansas,32
1997-04,97000,55,Utah,33
1997-04,67700,42,Nevada,34
1997-04,99400,41,New Mexico,35
1997-04,24700,61,West Virginia,36
1997-04,49300,38,Nebraska,37
1997-04,64600,20,Idaho,38
1997-04,147100,18,Hawaii,39
1997-04,54900,28,Maine,40
1997-04,55600,39,New Hampshire,41
1997-04,73000,50,Rhode Island,42
1997-04,121400,35,Montana,43
1997-04,43100,52,South Dakota,44
1997-04,70800,3,Alaska,45
1997-04,,37,North Dakota,46
1997-04,90600,12,District of Columbia,47
1997-04,117700,62,Wyoming,48
1997-05,92300,9,California,1
1997-05,45400,54,Texas,2
1997-05,59200,43,New York,3
1997-05,42500,14,Florida,4
1997-05,58500,21,Illinois,5
1997-05,52200,47,Pennsylvania,6
1997-05,48200,44,Ohio,7
1997-05,63900,30,Michigan,8
1997-05,66800,16,Georgia,9
1997-05,50000,36,North Carolina,10
1997-05,89500,40,New Jersey,11
1997-05,74200,56,Virginia,12
1997-05,90400,59,Washington,13
1997-05,83900,26,Massachusetts,14
1997-05,52400,22,Indiana,15
1997-05,50500,8,Arizona,16
1997-05,52500,53,Tennessee,17
1997-05,48600,32,Missouri,18
1997-05,75400,60,Wisconsin,19
1997-05,54400,31,Minnesota,20
1997-05,74600,10,Colorado,21
1997-05,47600,4,Alabama,22
1997-05,80200,51,South Carolina,23
1997-05,,25,Louisiana,24
1997-05,46800,24,Kentucky,25
1997-05,86700,46,Oregon,26
1997-05,17300,45,Oklahoma,27
1997-05,56100,11,Connecticut,28
1997-05,36000,19,Iowa,29
1997-05,43600,34,Mississippi,30
1997-05,49100,6,Arkansas,31
1997-05,28100,23,Kansas,32
1997-05,97100,55,Utah,33
1997-05,67800,42,Nevada,34
1997-05,100000,41,New Mexico,35
1997-05,24900,61,West Virginia,36
1997-05,48900,38,Nebraska,37
1997-05,65400,20,Idaho,38
1997-05,145800,18,Hawaii,39
1997-05,55200,28,Maine,40
1997-05,55900,39,New Hampshire,41
1997-05,72500,50,Rhode Island,42
1997-05,121500,35,Montana,43
1997-05,43400,52,South Dakota,44
1997-05,71700,3,Alaska,45
1997-05,,37,North Dakota,46
1997-05,90300,12,District of Columbia,47
1997-05,117300,62,Wyoming,48
1997-06,92500,9,California,1
1997-06,45300,54,Texas,2
1997-06,59200,43,New York,3
1997-06,42600,14,Florida,4
1997-06,58400,21,Illinois,5
1997-06,52300,47,Pennsylvania,6
1997-06,48300,44,Ohio,7
1997-06,64400,30,Michigan,8
1997-06,67300,16,Georgia,9
1997-06,50300,36,North Carolina,10
1997-06,89900,40,New Jersey,11
1997-06,74000,56,Virginia,12
1997-06,90900,59,Washington,13
1997-06,84500,26,Massachusetts,14
1997-06,52100,22,Indiana,15
1997-06,50500,8,Arizona,16
1997-06,52400,53,Tennessee,17
1997-06,48500,32,Missouri,18
1997-06,75300,60,Wisconsin,19
1997-06,54500,31,Minnesota,20
1997-06,75000,10,Colorado,21
1997-06,47900,4,Alabama,22
1997-06,81500,51,South Carolina,23
1997-06,,25,Louisiana,24
1997-06,47000,24,Kentucky,25
1997-06,87300,46,Oregon,26
1997-06,17200,45,Oklahoma,27
1997-06,56200,11,Connecticut,28
1997-06,36300,19,Iowa,29
1997-06,43500,34,Mississippi,30
1997-06,49100,6,Arkansas,31
1997-06,28200,23,Kansas,32
1997-06,97200,55,Utah,33
1997-06,67900,42,Nevada,34
1997-06,100500,41,New Mexico,35
1997-06,24900,61,West Virginia,36
1997-06,48600,38,Nebraska,37
1997-06,66100,20,Idaho,38
1997-06,144400,18,Hawaii,39
1997-06,55600,28,Maine,40
1997-06,56300,39,New Hampshire,41
1997-06,72000,50,Rhode Island,42
1997-06,121700,35,Montana,43
1997-06,43800,52,South Dakota,44
1997-06,72600,3,Alaska,45
1997-06,,37,North Dakota,46
1997-06,90000,12,District of Columbia,47
1997-06,116900,62,Wyoming,48
1997-07,92900,9,California,1
1997-07,45200,54,Texas,2
1997-07,59100,43,New York,3
1997-07,42700,14,Florida,4
1997-07,58400,21,Illinois,5
1997-07,52500,47,Pennsylvania,6
1997-07,48500,44,Ohio,7
1997-07,64900,30,Michigan,8
1997-07,67800,16,Georgia,9
1997-07,50500,36,North Carolina,10
1997-07,90200,40,New Jersey,11
1997-07,73800,56,Virginia,12
1997-07,91300,59,Washington,13
1997-07,85100,26,Massachusetts,14
1997-07,51900,22,Indiana,15
1997-07,50500,8,Arizona,16
1997-07,52400,53,Tennessee,17
1997-07,48600,32,Missouri,18
1997-07,75300,60,Wisconsin,19
1997-07,54600,31,Minnesota,20
1997-07,75400,10,Colorado,21
1997-07,48300,4,Alabama,22
1997-07,82900,51,South Carolina,23
1997-07,,25,Louisiana,24
1997-07,47200,24,Kentucky,25
1997-07,87900,46,Oregon,26
1997-07,17200,45,Oklahoma,27
1997-07,56200,11,Connecticut,28
1997-07,36700,19,Iowa,29
1997-07,43500,34,Mississippi,30
1997-07,49100,6,Arkansas,31
1997-07,28400,23,Kansas,32
1997-07,97200,55,Utah,33
1997-07,68000,42,Nevada,34
1997-07,100800,41,New Mexico,35
1997-07,25000,61,West Virginia,36
1997-07,48400,38,Nebraska,37
1997-07,66800,20,Idaho,38
1997-07,143100,18,Hawaii,39
1997-07,56000,28,Maine,40
1997-07,56600,39,New Hampshire,41
1997-07,71500,50,Rhode Island,42
1997-07,122000,35,Montana,43
1997-07,44200,52,South Dakota,44
1997-07,73700,3,Alaska,45
1997-07,,37,North Dakota,46
1997-07,89800,12,District of Columbia,47
1997-07,116300,62,Wyoming,48
1997-08,93500,9,California,1
1997-08,45000,54,Texas,2
1997-08,59000,43,New York,3
1997-08,42800,14,Florida,4
1997-08,58400,21,Illinois,5
1997-08,52600,47,Pennsylvania,6
1997-08,48700,44,Ohio,7
1997-08,65400,30,Michigan,8
1997-08,68300,16,Georgia,9
1997-08,50800,36,North Carolina,10
1997-08,90400,40,New Jersey,11
