Date,ValuePerSqft,RegionID,RegionName,SizeRank
2001-12,80,32,Missouri,18
2001-12,104,27,Maryland,19
2001-12,93,60,Wisconsin,20
2001-12,122,31,Minnesota,21
2001-12,136,10,Colorado,22
2001-12,54,4,Alabama,23
2001-12,69,51,South Carolina,24
2001-12,56,25,Louisiana,25
2001-12,69,24,Kentucky,26
2001-12,98,46,Oregon,27
2001-12,49,45,Oklahoma,28
2001-12,119,11,Connecticut,29
2001-12,69,19,Iowa,30
2001-12,42,34,Mississippi,31
2001-12,47,6,Arkansas,32
2001-12,73,23,Kansas,33
2001-12,117,55,Utah,34
2001-12,94,42,Nevada,35
2001-12,87,41,New Mexico,36
2001-12,42,61,West Virginia,37
2001-12,72,38,Nebraska,38
2001-12,76,20,Idaho,39
2001-12,187,18,Hawaii,40
2001-12,98,28,Maine,41
2001-12,105,39,New Hampshire,42
2001-12,122,50,Rhode Island,43
2001-12,116,35,Montana,44
2001-12,81,13,Delaware,45
2001-12,82,52,South Dakota,46
2001-12,111,3,Alaska,47
2001-12,,37,North Dakota,48
2001-12,166,12,District of Columbia,49
2001-12,116,62,Wyoming,50
2002-01,168,9,California,1
2002-01,62,54,Texas,2
2002-01,89,43,New York,3
2002-01,78,14,Florida,4
2002-01,111,21,Illinois,5
2002-01,72,47,Pennsylvania,6
2002-01,77,44,Ohio,7
2002-01,101,30,Michigan,8
2002-01,74,16,Georgia,9
2002-01,74,36,North Carolina,10
2002-01,123,40,New Jersey,11
2002-01,89,56,Virginia,12
2002-01,113,59,Washington,13
2002-01,163,26,Massachusetts,14
2002-01,68,22,Indiana,15
2002-01,83,8,Arizona,16
2002-01,60,53,Tennessee,17
2002-01,80,32,Missouri,18
2002-01,105,27,Maryland,19
2002-01,94,60,Wisconsin,20
2002-01,123,31,Minnesota,21
2002-01,137,10,Colorado,22
2002-01,55,4,Alabama,23
2002-01,69,51,South Carolina,24
2002-01,55,25,Louisiana,25
2002-01,69,24,Kentucky,26
