year,month,date,days,SizeRank,RegionName
2010,11,11/1/2010,130,32,arkansas
2010,11,11/1/2010,112,33,kansas
2010,11,11/1/2010,111,34,utah
2010,11,11/1/2010,97,35,nevada
2010,11,11/1/2010,128,36,new mexico
2010,11,11/1/2010,145,37,west virginia
2010,11,11/1/2010,114,38,nebraska
2010,11,11/1/2010,111,39,idaho
2010,11,11/1/2010,76,40,hawaii
2010,11,11/1/2010,139,41,maine
2010,11,11/1/2010,104,42,new hampshire
2010,11,11/1/2010,139,43,rhode island
2010,11,11/1/2010,129.5,44,montana
2010,11,11/1/2010,134,45,delaware
2010,11,11/1/2010,,46,south dakota
2010,11,11/1/2010,104,47,alaska
2010,11,11/1/2010,125,48,north dakota
2010,11,11/1/2010,153,49,vermont
2010,11,11/1/2010,82,50,district of columbia
2010,11,11/1/2010,126,51,wyoming
2010,12,12/1/2010,102,1,california
2010,12,12/1/2010,127,2,texas
2010,12,12/1/2010,159,3,new york
2010,12,12/1/2010,117,4,florida
2010,12,12/1/2010,147,5,illinois
2010,12,12/1/2010,131,6,pennsylvania
2010,12,12/1/2010,132,7,ohio
2010,12,12/1/2010,118,8,michigan
2010,12,12/1/2010,136,9,georgia
2010,12,12/1/2010,149,10,north carolina
2010,12,12/1/2010,159,11,new jersey
2010,12,12/1/2010,108,12,virginia
2010,12,12/1/2010,132,13,washington
2010,12,12/1/2010,118,14,massachusetts
2010,12,12/1/2010,135,15,indiana
2010,12,12/1/2010,106,16,arizona
2010,12,12/1/2010,147,17,tennessee
2010,12,12/1/2010,123,18,missouri
2010,12,12/1/2010,131,19,maryland
2010,12,12/1/2010,138,20,wisconsin
2010,12,12/1/2010,135,21,minnesota
2010,12,12/1/2010,115,22,colorado
2010,12,12/1/2010,154.5,23,alabama
2010,12,12/1/2010,152,24,south carolina
2010,12,12/1/2010,107,25,louisiana
2010,12,12/1/2010,125,26,kentucky
2010,12,12/1/2010,130,27,oregon
2010,12,12/1/2010,122,28,oklahoma
2010,12,12/1/2010,137,29,connecticut
2010,12,12/1/2010,112,30,iowa
2010,12,12/1/2010,111,31,mississippi
2010,12,12/1/2010,136,32,arkansas
2010,12,12/1/2010,117,33,kansas
2010,12,12/1/2010,110,34,utah
2010,12,12/1/2010,101,35,nevada
2010,12,12/1/2010,133,36,new mexico
2010,12,12/1/2010,131,37,west virginia
2010,12,12/1/2010,122,38,nebraska
2010,12,12/1/2010,122,39,idaho
2010,12,12/1/2010,89,40,hawaii
2010,12,12/1/2010,154.5,41,maine
2010,12,12/1/2010,111,42,new hampshire
