date,zri,RegionID,RegionName,SizeRank
2016-10,1410,31,minnesota,21
2016-10,1870,10,colorado,22
2016-10,989,4,alabama,23
2016-10,1188,51,south carolina,24
2016-10,1278,25,louisiana,25
2016-10,1040,24,kentucky,26
2016-10,1642,46,oregon,27
2016-10,989,45,oklahoma,28
2016-10,1862,11,connecticut,29
2016-10,1080,19,iowa,30
2016-10,1057,34,mississippi,31
2016-10,948,6,arkansas,32
2016-10,1057,23,kansas,33
2016-10,1447,55,utah,34
2016-10,1192,41,new mexico,35
2016-10,894,61,west virginia,36
2016-10,1256,38,nebraska,37
2016-10,1147,20,idaho,38
2016-10,2564,18,hawaii,39
2016-10,1409,28,maine,40
2016-10,1668,39,new hampshire,41
2016-10,1238,35,montana,42
2016-10,1411,13,delaware,43
2016-10,1200,52,south dakota,44
2016-10,1868,3,alaska,45
2016-10,1317,37,north dakota,46
2016-10,2621,12,district of columbia,47
2016-10,1212,62,wyoming,48
2016-11,2400,9,california,1
2016-11,1433,54,texas,2
2016-11,2033,43,new york,3
2016-11,1540,14,florida,4
2016-11,1448,21,illinois,5
2016-11,1242,47,pennsylvania,6
2016-11,1108,44,ohio,7
2016-11,1067,30,michigan,8
2016-11,1199,16,georgia,9
2016-11,1166,36,north carolina,10
2016-11,2075,40,new jersey,11
2016-11,1432,56,virginia,12
2016-11,1697,59,washington,13
2016-11,2231,26,massachusetts,14
2016-11,1092,22,indiana,15
2016-11,1291,8,arizona,16
2016-11,1102,53,tennessee,17
2016-11,1014,32,missouri,18
2016-11,1798,27,maryland,19
2016-11,1166,60,wisconsin,20
2016-11,1404,31,minnesota,21
2016-11,1863,10,colorado,22
2016-11,986,4,alabama,23
2016-11,1187,51,south carolina,24
2016-11,1269,25,louisiana,25
2016-11,1042,24,kentucky,26
2016-11,1644,46,oregon,27
2016-11,981,45,oklahoma,28
2016-11,1846,11,connecticut,29
2016-11,1075,19,iowa,30
2016-11,1050,34,mississippi,31
2016-11,942,6,arkansas,32
2016-11,1049,23,kansas,33
2016-11,1448,55,utah,34
2016-11,1189,41,new mexico,35
2016-11,897,61,west virginia,36
2016-11,1251,38,nebraska,37
2016-11,1156,20,idaho,38
2016-11,2564,18,hawaii,39
2016-11,1402,28,maine,40
2016-11,1674,39,new hampshire,41
2016-11,1232,35,montana,42
2016-11,1406,13,delaware,43
2016-11,1201,52,south dakota,44
2016-11,1852,3,alaska,45
2016-11,1313,37,north dakota,46
2016-11,2632,12,district of columbia,47
2016-11,1202,62,wyoming,48
2016-12,2403,9,california,1
2016-12,1429,54,texas,2
2016-12,2021,43,new york,3
2016-12,1541,14,florida,4
2016-12,1442,21,illinois,5
2016-12,1236,47,pennsylvania,6
2016-12,1101,44,ohio,7
2016-12,1070,30,michigan,8
2016-12,1199,16,georgia,9
2016-12,1162,36,north carolina,10
2016-12,2062,40,new jersey,11
2016-12,1424,56,virginia,12
2016-12,1701,59,washington,13
2016-12,2215,26,massachusetts,14
2016-12,1088,22,indiana,15
2016-12,1291,8,arizona,16
2016-12,1098,53,tennessee,17
2016-12,1010,32,missouri,18
2016-12,1794,27,maryland,19
2016-12,1167,60,wisconsin,20
2016-12,1399,31,minnesota,21
2016-12,1853,10,colorado,22
2016-12,982,4,alabama,23
2016-12,1185,51,south carolina,24
2016-12,1261,25,louisiana,25
2016-12,1041,24,kentucky,26
2016-12,1643,46,oregon,27
2016-12,969,45,oklahoma,28
2016-12,1823,11,connecticut,29
2016-12,1065,19,iowa,30
2016-12,1044,34,mississippi,31
2016-12,934,6,arkansas,32
2016-12,1035,23,kansas,33
2016-12,1447,55,utah,34
2016-12,1184,41,new mexico,35
2016-12,899,61,west virginia,36
2016-12,1246,38,nebraska,37
2016-12,1167,20,idaho,38
2016-12,2558,18,hawaii,39
2016-12,1384,28,maine,40
2016-12,1674,39,new hampshire,41
2016-12,1228,35,montana,42
2016-12,1402,13,delaware,43
2016-12,1197,52,south dakota,44
2016-12,1834,3,alaska,45
2016-12,1305,37,north dakota,46
2016-12,2649,12,district of columbia,47
2016-12,1188,62,wyoming,48
2017-01,2406,9,california,1
2017-01,1423,54,texas,2
2017-01,2010,43,new york,3
2017-01,1542,14,florida,4
2017-01,1435,21,illinois,5
2017-01,1228,47,pennsylvania,6
2017-01,1096,44,ohio,7
2017-01,1074,30,michigan,8
2017-01,1199,16,georgia,9
2017-01,1156,36,north carolina,10
2017-01,2051,40,new jersey,11
2017-01,1416,56,virginia,12
2017-01,1704,59,washington,13
2017-01,2195,26,massachusetts,14
2017-01,1082,22,indiana,15
2017-01,1290,8,arizona,16
2017-01,1095,53,tennessee,17
2017-01,1005,32,missouri,18
2017-01,1789,27,maryland,19
2017-01,1167,60,wisconsin,20
2017-01,1397,31,minnesota,21
2017-01,1844,10,colorado,22
2017-01,983,4,alabama,23
2017-01,1183,51,south carolina,24
2017-01,1254,25,louisiana,25
2017-01,1041,24,kentucky,26
2017-01,1641,46,oregon,27
2017-01,957,45,oklahoma,28
2017-01,1804,11,connecticut,29
2017-01,1050,19,iowa,30
2017-01,1040,34,mississippi,31
2017-01,927,6,arkansas,32
2017-01,1021,23,kansas,33
2017-01,1445,55,utah,34
2017-01,1178,41,new mexico,35
2017-01,898,61,west virginia,36
2017-01,1242,38,nebraska,37
2017-01,1174,20,idaho,38
2017-01,2550,18,hawaii,39
2017-01,1361,28,maine,40
2017-01,1676,39,new hampshire,41
2017-01,1229,35,montana,42
2017-01,1391,13,delaware,43
2017-01,1187,52,south dakota,44
2017-01,1816,3,alaska,45
2017-01,1300,37,north dakota,46
2017-01,2662,12,district of columbia,47
2017-01,1172,62,wyoming,48
2017-02,2413,9,california,1
2017-02,1419,54,texas,2
2017-02,2002,43,new york,3
2017-02,1544,14,florida,4
2017-02,1429,21,illinois,5
2017-02,1221,47,pennsylvania,6
2017-02,1094,44,ohio,7
2017-02,1078,30,michigan,8
2017-02,1199,16,georgia,9
2017-02,1152,36,north carolina,10
2017-02,2043,40,new jersey,11
2017-02,1411,56,virginia,12
2017-02,1706,59,washington,13
2017-02,2179,26,massachusetts,14
2017-02,1077,22,indiana,15
2017-02,1290,8,arizona,16
2017-02,1094,53,tennessee,17
2017-02,1002,32,missouri,18
2017-02,1785,27,maryland,19
2017-02,1165,60,wisconsin,20
2017-02,1398,31,minnesota,21
2017-02,1840,10,colorado,22
2017-02,984,4,alabama,23
2017-02,1184,51,south carolina,24
2017-02,1251,25,louisiana,25
2017-02,1040,24,kentucky,26
2017-02,1640,46,oregon,27
2017-02,949,45,oklahoma,28
2017-02,1792,11,connecticut,29
2017-02,1039,19,iowa,30
2017-02,1036,34,mississippi,31
2017-02,924,6,arkansas,32
2017-02,1015,23,kansas,33
2017-02,1444,55,utah,34
2017-02,1173,41,new mexico,35
2017-02,896,61,west virginia,36
2017-02,1239,38,nebraska,37
2017-02,1180,20,idaho,38
2017-02,2547,18,hawaii,39
2017-02,1346,28,maine,40
2017-02,1678,39,new hampshire,41
2017-02,1233,35,montana,42
2017-02,1379,13,delaware,43
2017-02,1174,52,south dakota,44
2017-02,1805,3,alaska,45
2017-02,1304,37,north dakota,46
2017-02,2672,12,district of columbia,47
2017-02,1158,62,wyoming,48
2017-03,2422,9,california,1
2017-03,1417,54,texas,2
2017-03,1999,43,new york,3
2017-03,1546,14,florida,4
2017-03,1425,21,illinois,5
2017-03,1219,47,pennsylvania,6
2017-03,1092,44,ohio,7
2017-03,1081,30,michigan,8
2017-03,1199,16,georgia,9
2017-03,1151,36,north carolina,10
2017-03,2040,40,new jersey,11
2017-03,1410,56,virginia,12
2017-03,1710,59,washington,13
2017-03,2171,26,massachusetts,14
2017-03,1073,22,indiana,15
2017-03,1291,8,arizona,16
2017-03,1096,53,tennessee,17
2017-03,1001,32,missouri,18
2017-03,1781,27,maryland,19
2017-03,1165,60,wisconsin,20
2017-03,1404,31,minnesota,21
2017-03,1841,10,colorado,22
2017-03,987,4,alabama,23
2017-03,1185,51,south carolina,24
2017-03,1250,25,louisiana,25
2017-03,1038,24,kentucky,26
2017-03,1641,46,oregon,27
2017-03,945,45,oklahoma,28
2017-03,1788,11,connecticut,29
2017-03,1036,19,iowa,30
2017-03,1033,34,mississippi,31
2017-03,926,6,arkansas,32
2017-03,1022,23,kansas,33
2017-03,1444,55,utah,34
2017-03,1170,41,new mexico,35
2017-03,893,61,west virginia,36
2017-03,1238,38,nebraska,37
2017-03,1183,20,idaho,38
2017-03,2546,18,hawaii,39
2017-03,1349,28,maine,40
2017-03,1687,39,new hampshire,41
2017-03,1236,35,montana,42
2017-03,1366,13,delaware,43
2017-03,1170,52,south dakota,44
2017-03,1801,3,alaska,45
2017-03,1311,37,north dakota,46
2017-03,2680,12,district of columbia,47
2017-03,1150,62,wyoming,48
2017-04,2431,9,california,1
2017-04,1418,54,texas,2
2017-04,1999,43,new york,3
2017-04,1547,14,florida,4
2017-04,1425,21,illinois,5
2017-04,1220,47,pennsylvania,6
2017-04,1094,44,ohio,7
2017-04,1083,30,michigan,8
2017-04,1201,16,georgia,9
2017-04,1154,36,north carolina,10
2017-04,2039,40,new jersey,11
2017-04,1414,56,virginia,12
2017-04,1720,59,washington,13
2017-04,2177,26,massachusetts,14
2017-04,1075,22,indiana,15
2017-04,1293,8,arizona,16
2017-04,1099,53,tennessee,17
2017-04,1005,32,missouri,18
2017-04,1779,27,maryland,19
2017-04,1161,60,wisconsin,20
2017-04,1413,31,minnesota,21
2017-04,1847,10,colorado,22
2017-04,988,4,alabama,23
