Pivot1 Names,RegionName,SizeRank,RegionID,Pivot1 Values
2003-08,Oklahoma,28,45,78000
2003-08,Connecticut,29,11,235400
2003-08,Iowa,30,19,92500
2003-08,Mississippi,31,34,70000
2003-08,Arkansas,32,6,80500
2003-08,Kansas,33,23,101500
2003-08,Utah,34,55,171200
2003-08,Nevada,35,42,189100
2003-08,New Mexico,36,41,143300
2003-08,West Virginia,37,61,70600
2003-08,Nebraska,38,38,101300
2003-08,Idaho,39,20,131100
2003-08,Hawaii,40,18,341400
2003-08,Maine,41,28,157100
2003-08,New Hampshire,42,39,221400
2003-08,Rhode Island,43,50,236300
2003-08,Montana,44,35,141700
2003-08,Delaware,45,13,164700
2003-08,South Dakota,46,52,96100
2003-08,Alaska,47,3,210000
2003-08,North Dakota,48,37,
2003-08,Vermont,49,58,141700
2003-08,District of Columbia,50,12,261800
2003-08,Wyoming,51,62,157500
2003-09,California,1,9,355800
2003-09,Texas,2,54,117300
2003-09,New York,3,43,201200
2003-09,Florida,4,14,150200
2003-09,Illinois,5,21,162900
2003-09,Pennsylvania,6,47,117200
2003-09,Ohio,7,44,116900
2003-09,Michigan,8,30,124200
2003-09,Georgia,9,16,141000
2003-09,North Carolina,10,36,125600
2003-09,New Jersey,11,40,272900
2003-09,Virginia,12,56,174200
2003-09,Washington,13,59,198900
2003-09,Massachusetts,14,26,321000
2003-09,Indiana,15,22,104200
2003-09,Arizona,16,8,156300
2003-09,Tennessee,17,53,94800
2003-09,Missouri,18,32,123800
2003-09,Maryland,19,27,207400
2003-09,Wisconsin,20,60,149100
2003-09,Minnesota,21,31,182700
2003-09,Colorado,22,10,216900
2003-09,Alabama,23,4,97600
2003-09,South Carolina,24,51,112700
2003-09,Louisiana,25,25,96100
2003-09,Kentucky,26,24,102800
2003-09,Oregon,27,46,169800
2003-09,Oklahoma,28,45,78300
2003-09,Connecticut,29,11,237700
2003-09,Iowa,30,19,92900
2003-09,Mississippi,31,34,69900
2003-09,Arkansas,32,6,80800
2003-09,Kansas,33,23,101900
2003-09,Utah,34,55,171500
2003-09,Nevada,35,42,192600
2003-09,New Mexico,36,41,144900
2003-09,West Virginia,37,61,70300
2003-09,Nebraska,38,38,102100
2003-09,Idaho,39,20,131500
2003-09,Hawaii,40,18,348400
2003-09,Maine,41,28,159000
2003-09,New Hampshire,42,39,223600
2003-09,Rhode Island,43,50,239800
2003-09,Montana,44,35,140500
2003-09,Delaware,45,13,166400
2003-09,South Dakota,46,52,97600
2003-09,Alaska,47,3,211700
2003-09,North Dakota,48,37,
2003-09,Vermont,49,58,143100
2003-09,District of Columbia,50,12,267000
2003-09,Wyoming,51,62,159000
2003-10,California,1,9,361900
2003-10,Texas,2,54,117600
2003-10,New York,3,43,203300
2003-10,Florida,4,14,151800
2003-10,Illinois,5,21,163800
2003-10,Pennsylvania,6,47,118100
2003-10,Ohio,7,44,117200
2003-10,Michigan,8,30,124800
2003-10,Georgia,9,16,141200
2003-10,North Carolina,10,36,126000
2003-10,New Jersey,11,40,275800
2003-10,Virginia,12,56,176100
2003-10,Washington,13,59,200600
2003-10,Massachusetts,14,26,323200
2003-10,Indiana,15,22,103900
2003-10,Arizona,16,8,157200
2003-10,Tennessee,17,53,95200
2003-10,Missouri,18,32,124200
2003-10,Maryland,19,27,210400
2003-10,Wisconsin,20,60,149800
2003-10,Minnesota,21,31,183700
2003-10,Colorado,22,10,217500
2003-10,Alabama,23,4,97900
2003-10,South Carolina,24,51,113300
2003-10,Louisiana,25,25,97000
2003-10,Kentucky,26,24,103100
2003-10,Oregon,27,46,170800
2003-10,Oklahoma,28,45,78600
2003-10,Connecticut,29,11,240000
2003-10,Iowa,30,19,93200
2003-10,Mississippi,31,34,69800
2003-10,Arkansas,32,6,81100
2003-10,Kansas,33,23,102300
2003-10,Utah,34,55,171600
2003-10,Nevada,35,42,196600
2003-10,New Mexico,36,41,146600
2003-10,West Virginia,37,61,69800
2003-10,Nebraska,38,38,102900
2003-10,Idaho,39,20,131900
2003-10,Hawaii,40,18,355800
2003-10,Maine,41,28,160800
2003-10,New Hampshire,42,39,225600
